timestamp,source,event,anomaly_flag,combined_score,lstm_error,iso_score,lstm_flag,iso_flag
2026-03-29 06:11:55.375000+00:00,sensor,Normal,0,0.2561553174466554,0.0,-0.2066702676176016,0.0,0.0
2026-03-29 06:12:10.378000+00:00,sensor,Normal,0,0.14494270533695872,0.0,-0.2611930736739438,0.0,0.0
2026-03-29 06:12:10.379000+00:00,sensor,Normal,0,0.24787882360852687,0.0,-0.21072787996751824,0.0,0.0
2026-03-29 06:12:25.382000+00:00,sensor,Normal,0,0.12094050025377186,0.0,-0.2729603323314809,0.0,0.0
2026-03-29 06:12:40.376000+00:00,sensor,Normal,0,0.10775729294430625,0.0,-0.2794234972702341,0.0,0.0
2026-03-29 06:12:55.374000+00:00,sensor,Normal,0,0.10923168872745942,0.0,-0.2787006638270644,0.0,0.0
2026-03-29 06:12:55.375000+00:00,sensor,Normal,0,0.21933735447377722,0.0,-0.22472054641673428,0.0,0.0
2026-03-29 06:13:10.379000+00:00,sensor,Normal,0,0.11271742216430099,0.0,-0.2769917572153434,0.0,0.0
2026-03-29 06:13:25.379000+00:00,sensor,Normal,0,0.07575178204802933,0.0,-0.2951144358268306,0.0,0.0
2026-03-29 06:13:40.404000+00:00,sensor,Normal,0,0.07117395242467016,0.0,-0.29735875067546663,0.0,0.0
2026-03-29 06:13:55.387000+00:00,sensor,Normal,0,0.06958981847223261,0.0,-0.29813538406818674,0.0,0.0
2026-03-29 06:13:55.388000+00:00,sensor,Normal,0,0.17652962300556047,0.0,-0.24570735354479073,0.0,0.0
2026-03-29 06:14:10.433000+00:00,sensor,Normal,0,0.08096061415971809,0.0,-0.29256076733889397,0.0,0.0
2026-03-29 06:14:25.380000+00:00,sensor,Normal,0,0.05151309997412706,0.0,-0.3069976290789877,0.0,0.0
2026-03-29 06:14:40.385000+00:00,sensor,Normal,0,0.07590065240372246,0.0,-0.29504145103331647,0.0,0.0
2026-03-29 06:14:40.387000+00:00,sensor,Normal,0,0.17155599880324068,0.0,-0.24814570961462867,0.0,0.0
2026-03-29 06:14:55.385000+00:00,sensor,Normal,0,0.09428667385052415,0.0,-0.28602756796308587,0.0,0.0
2026-03-29 06:15:10.390000+00:00,sensor,Normal,0,0.037069430437253255,0.0,-0.3140787449521055,0.0,0.0
2026-03-29 06:15:25.393000+00:00,sensor,Normal,0,0.03119871601692443,0.0,-0.31695690613975963,0.0,0.0
2026-03-29 06:15:40.395000+00:00,sensor,Normal,0,0.12874771618974382,25.5085262794057,-0.305960289702685,0.0,0.0
2026-03-29 06:15:55.395000+00:00,sensor,Normal,0,0.10663315449383554,20.4591100238183,-0.3094754242181831,0.0,0.0
2026-03-29 06:16:10.390000+00:00,sensor,Normal,0,0.08539541090589595,20.435751873841422,-0.3198534925413221,0.0,0.0
2026-03-29 06:16:10.391000+00:00,sensor,Normal,0,0.18674346511136827,20.424387274823104,-0.27015036898421535,0.0,0.0
2026-03-29 06:16:25.394000+00:00,sensor,Normal,0,0.09038721074399957,20.412211917144024,-0.3173720693009184,0.0,0.0
2026-03-29 06:16:25.395000+00:00,sensor,Normal,0,0.2012111808933135,25.432550014722562,-0.27032429849474354,0.0,0.0
2026-03-29 06:16:40.394000+00:00,sensor,Normal,0,0.1190584105714277,25.415520987791037,-0.31057559298835924,0.0,0.0
2026-03-29 06:16:55.405000+00:00,sensor,Normal,0,0.08772924703369223,20.386686368069107,-0.31863811815750054,0.0,0.0
2026-03-29 06:17:10.406000+00:00,sensor,Normal,0,0.07725806380559579,20.372298250657977,-0.32375081609156137,0.0,0.0
2026-03-29 06:17:25.402000+00:00,sensor,Normal,0,0.07914402020521139,20.35682333953159,-0.3228037579451896,0.0,0.0
2026-03-29 06:17:40.403000+00:00,sensor,Normal,0,0.10198424781514717,20.343197702662493,-0.3115863965703519,0.0,0.0
2026-03-29 06:17:40.404000+00:00,sensor,Normal,0,0.20446156441302393,25.350301732335875,-0.2686114318263594,0.0,0.0
2026-03-29 06:17:55.407000+00:00,sensor,Normal,0,0.08402507600156803,20.32155364555018,-0.32035960796514795,0.0,0.0
2026-03-29 06:17:55.408000+00:00,sensor,Normal,0,0.20203943110060046,25.32244318118504,-0.2697584779038428,0.0,0.0
2026-03-29 06:18:10.401000+00:00,sensor,Normal,0,0.11584689512878837,25.300069523199618,-0.31198254235237227,0.0,0.0
2026-03-29 06:18:10.402000+00:00,sensor,Normal,0,0.24059284983503768,30.31154165718064,-0.2580965510992958,0.0,0.0
2026-03-29 06:18:25.401000+00:00,sensor,Normal,0,0.13736439220469937,25.288850586865056,-0.30141715152771836,0.0,0.0
2026-03-29 06:18:40.408000+00:00,sensor,Normal,0,0.10427949977610124,25.281988310204426,-0.317627307718056,0.0,0.0
2026-03-29 06:18:55.401000+00:00,sensor,Normal,0,0.11343952202618479,25.277830235166004,-0.31313050566743883,0.0,0.0
2026-03-29 06:19:10.413000+00:00,sensor,Normal,0,0.09212585563149067,25.282493798448698,-0.32358645515894935,0.0,0.0
2026-03-29 06:19:25.419000+00:00,sensor,Normal,0,0.10513467163733758,25.282198919334327,-0.3172083589782731,0.0,0.0
2026-03-29 06:19:40.414000+00:00,sensor,Normal,0,0.10620472167769725,25.282132353130297,-0.3166836624402223,0.0,0.0
2026-03-29 06:19:40.415000+00:00,sensor,Normal,0,0.21915045096755398,30.284271242126962,-0.26856927649878254,0.0,0.0
2026-03-29 06:19:55.428000+00:00,sensor,Normal,0,0.1106462221549405,25.270891165606564,-0.3144898730234303,0.0,0.0
2026-03-29 06:20:10.410000+00:00,sensor,Normal,0,0.0969638573690985,25.27124441509324,-0.3211982661730321,0.0,0.0
2026-03-29 06:20:25.413000+00:00,sensor,Normal,0,0.07914569328971946,20.255840653958835,-0.3226564120260301,0.0,0.0
2026-03-29 06:20:40.416000+00:00,sensor,Normal,0,0.07661884808601341,20.257079052763107,-0.32389701349993233,0.0,0.0
2026-03-29 06:20:55.429000+00:00,sensor,Normal,0,0.08507289916300187,20.26138239855824,-0.31975859654598704,0.0,0.0
2026-03-29 06:21:10.409000+00:00,sensor,Normal,0,0.08184528180037672,20.26705351218634,-0.3213491886169344,0.0,0.0
2026-03-29 06:21:25.425000+00:00,sensor,Normal,0,0.08083553510365656,20.27445450258084,-0.3218549632295217,0.0,0.0
2026-03-29 06:21:40.423000+00:00,sensor,Normal,0,0.07794382932431364,20.276333760317,-0.3232753701856288,0.0,0.0
2026-03-29 06:21:40.424000+00:00,sensor,Normal,0,0.1783621136400077,20.271305090650877,-0.27403726661821387,0.0,0.0
2026-03-29 06:21:55.418000+00:00,sensor,Normal,0,0.10886205775383527,20.271608891873843,-0.3081106241294437,0.0,0.0
2026-03-29 06:22:10.429000+00:00,sensor,Normal,0,0.08566634508915529,15.264475142061805,-0.31221715274013984,0.0,0.0
2026-03-29 06:22:25.425000+00:00,sensor,Normal,0,0.06729532172512714,15.2613537725154,-0.32121915378826527,0.0,0.0
2026-03-29 06:22:40.421000+00:00,sensor,Normal,0,0.07362219946497517,10.24601143081814,-0.3108401033363773,0.0,0.0
2026-03-29 06:22:40.422000+00:00,sensor,Normal,0,0.18544214570861156,15.252280297427756,-0.2632836334534539,0.0,0.0
2026-03-29 06:22:55.530000+00:00,sensor,Normal,0,0.07855939820607205,15.280162732869378,-0.31572414870398124,0.0,0.0
2026-03-29 06:23:10.432000+00:00,sensor,Normal,0,0.06925601100340834,15.307922395845324,-0.32032548234092784,0.0,0.0
2026-03-29 06:23:10.433000+00:00,sensor,Normal,0,0.19003023314085726,20.321847575836408,-0.2683902217353026,0.0,0.0
2026-03-29 06:23:25.462000+00:00,sensor,Normal,0,0.0931526901074716,20.326613564479928,-0.3158920695380558,0.0,0.0
2026-03-29 06:23:40.426000+00:00,sensor,Normal,0,0.08967563653414787,20.333864508311535,-0.31760724188761924,0.0,0.0
2026-03-29 06:23:55.441000+00:00,sensor,Normal,0,0.07423538786386333,15.321865634611163,-0.3179045375997497,0.0,0.0
2026-03-29 06:24:10.438000+00:00,sensor,Normal,0,0.08827529980369471,15.320386052549834,-0.31101922000572896,0.0,0.0
2026-03-29 06:24:25.437000+00:00,sensor,Normal,0,0.06531816166439279,15.312897525258192,-0.322263261022273,0.0,0.0
2026-03-29 06:24:40.437000+00:00,sensor,Normal,0,0.06674734158537764,15.317926157057036,-0.32156989152492443,0.0,0.0
2026-03-29 06:24:40.438000+00:00,sensor,Normal,0,0.18339331602622772,20.33307896847972,-0.27166031619222986,0.0,0.0
2026-03-29 06:24:55.444000+00:00,sensor,Normal,0,0.09084545788665213,20.332045679609585,-0.3170310891960654,0.0,0.0
2026-03-29 06:25:10.440000+00:00,sensor,Normal,0,0.09027695357350866,20.32596257481889,-0.3173009760694731,0.0,0.0
2026-03-29 06:25:25.433000+00:00,sensor,Normal,0,0.08091595936564358,20.32437892369143,-0.3218879748762644,0.0,0.0
2026-03-29 06:25:40.439000+00:00,sensor,Normal,0,0.07832650240253144,20.330020995308686,-0.32316566194908486,0.0,0.0
2026-03-29 06:25:40.440000+00:00,sensor,Normal,0,0.18815789639612865,20.324823005314407,-0.2693124660219237,0.0,0.0
2026-03-29 06:25:55.437000+00:00,sensor,Normal,0,0.10427321556780027,20.322324041241046,-0.3104339255498797,0.0,0.0
2026-03-29 06:25:55.438000+00:00,sensor,Normal,0,0.20106667578213472,25.33983396927548,-0.2702606123962104,0.0,0.0
2026-03-29 06:26:10.448000+00:00,sensor,Normal,0,0.10950908869483401,25.34326541217357,-0.31515237600566376,0.0,0.0
2026-03-29 06:26:25.447000+00:00,sensor,Normal,0,0.09807777327210282,25.343295757794614,-0.32075670701444087,0.0,0.0
2026-03-29 06:26:25.448000+00:00,sensor,Normal,0,0.2067652954769107,25.338476440948607,-0.2674648521503356,0.0,0.0
2026-03-29 06:26:40.437000+00:00,sensor,Normal,0,0.12435517669138646,25.307373251155138,-0.3078218920501353,0.0,0.0
2026-03-29 06:26:40.438000+00:00,sensor,Normal,0,0.24674819137843101,30.29751779333501,-0.25505850075961684,0.0,0.0
2026-03-29 06:26:55.451000+00:00,sensor,Normal,0,0.10541281237729219,25.285901992087396,-0.3170773715735211,0.0,0.0
2026-03-29 06:27:10.456000+00:00,sensor,Normal,0,0.11055851428445235,25.2785426199658,-0.31454397470111883,0.0,0.0
2026-03-29 06:27:25.445000+00:00,sensor,Normal,0,0.10809823769207401,25.27035234247476,-0.31573825943005046,0.0,0.0
2026-03-29 06:27:40.472000+00:00,sensor,Normal,0,0.09909310713174742,25.277066475325377,-0.3201628335184025,0.0,0.0
2026-03-29 06:27:55.454000+00:00,sensor,Normal,0,0.09506724008423773,25.282564012985567,-0.32214452154599893,0.0,0.0
